punto NOM	D	V	M	CONCEPTO	Cumple	No Cumple	N/A
PARTE TRASERA							
21		√		AMORTIGUADORES: CONDICION, MONTURA, BUJES, ELEMENTOS DE SUJECION, POSICIONAMIENTO			
VIGAS Y MONTAJE DEL CHASIS 							
68		√		VIGAS DEL CHASIS: REPARADAS, PERFORADAS, AGRIETADAS, OXIDADAS, CORROIDAS			
68		√		SUJETADORES DEL CHASIS: FALTANTES, FLOJOS, CORROIDOS 			
68		√		TRAVESAÑOS: FALTANTES DOBLADOS			
				FRENOS NEUMATICOS			
34		√		MANGUERAS O TUBERIA			
39		√		DEPOSITO DE AIRE			
37		√	√	FUGAS DEL SISTEMA DE AIRE PRESION DEL TANQUE 			
39		√		VALVULAS DEL SISTEMA DE AIRE: OPERACIÓN, ANTIRRETORNO, VALVULAS BIDIRECCIONALES, CONTAMINACION, TANQUES DE AIRE, VALVULAS DE PURGA, EYECTORES DE HUMEDAD			
39		√		VALVULAS DE CONTROL DEL SISTEMA DE AIRE: CONDICION, OPERACIÓN, FRENADO DE ESTACIONAMIENTO, LIBERACION DE FRENOS, 			
40		√		COMPONENTES DEL SISTEMA DE AIRE: CONEXIONES Y MANGUERAS, LINEAS DE AIRE, UNIONES, EMPALMES.			
42		√	√	BALATAS  ZAPATAS, DESGASTE REMACHADAS 4,8 mm, DESGASTE ADHERIDAS 3,2 mm			
41		√		MECANISMO DE CAMARA DE FRENO VARILLA DE EMPUJE Y HORQUILLAS, AJUSTADORES AUTOMATICOS, AJUSADORES DE HOLGURA, CUBIERTA AUTOBLOQUEANTE, AGUJEROS DEL PASADOR DEL AJUSTADOR DE HUELGO			
41		√		COMPONENTES MECANICOS DE LOS FRENOS DE AIRE: CAMARAS DE FRENO, CAMARAS DE FRENO DE RESORTE, SOPORTE MONTAJE, 			
42		√		FRENOS NEUMATICOS DE TAMBOR: OPERACIÓN, CONDICION, DESGASTE, 8 mm TRASERA, DELANTERA 4.8 mm, 1,6 Sobre el remache, SE LLOS , RESORTES, RODILLOS DE ZAPATA, ARAÑAS, PASADORES, 			
				SISTEMA DE ACOPLAMIENTO			
79		√		QUINTA RUEDA MONTAJE AL CHASIS TORNILLO GRADO 8, PERILES, BUJES DE ASIENTO, MORDAZA Y PESTILLO, PASADORES,  PLATO SUPERIOR, BUJES DE ASIENTO, TOPES, 			
79				DESLIZADORES, LIBERACION DE AIRE, CHASIS 			
79		√		GANCHO PINZON, MONTAJE, PESTILLO CERROJO, CONDICION, SIJETADORES (CUANDO APLIQUE)			
79		√		QUINTA RUEDA OSCILANTE (CUANDO APLIQUE) CHASIS, SUBENSAMBLE DE APOYO, AMORTIGUADORES DE HULE			
79		√		MANIJA DE OPERACIÓN			
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
