punto NOM	D	V	M	CONCEPTO	Cumple	No Cumple	N/A
LUCES 							
41		√		MECANISMO DE CAMARA DE FRENO VARILLA DE EMPUJE Y HORQUILLAS, AJUSTADORES AUTOMATICOS, AJUSADORES DE HOLGURA, CUBIERTA AUTOBLOQUEANTE, AGUJEROS DEL PASADOR DEL AJUSTADOR DE HUELGO			
41		√		COMPONENTES MECANICOS DE LOS FRENOS DE AIRE: CAMARAS DE FRENO, CAMARAS DE FRENO DE RESORTE, SOPORTE MONTAJE, 			
42		√		FRENOS NEUMATICOS DE TAMBOR: OPERACIÓN, CONDICION, DESGASTE, 8 mm TRASERA, DELANTERA 4.8 mm, 1,6 Sobre el remache, SE LLOS , RESORTES, RODILLOS DE ZAPATA, ARAÑAS, PASADORES, 			
				FRENOS ELECTRICOS			
63		√		FRENOS ELECTRICOS (RETARDADORES)			
CHASIS							
57		√		CUERPO DEL TANQUE			
57		√		TANQUE, VALVULA, MANGUERAS, ESCOTILLAS, BISAGRAS, DEFENSA			
VIGAS Y MONTAJE DEL CHASIS 							
68		√		VIGAS DEL CHASIS: REPARADAS, PERFORADAS, AGRIETADAS, OXIDADAS, CORROIDAS			
68		√		SUJETADORES DEL CHASIS: FALTANTES, FLOJOS, CORROIDOS 			
68		√		TRAVESAÑOS: FALTANTES DOBLADOS			
CAJAS PARA GRANO Y PARA RESIDUOS DE MATERIAL SOLIDO							
58		√		LADOS, SOPORTE LATERALES			
58		√		PISO			
58		√		CARROCERAIA, CHASIS Y REMACHES, ESCOTILLAS, CONTENEDORES DE PRESION, VALVULAS, MANGUERAS			
PLATAFORMAS PLANAS							
59		√		PLATAFORMA			
59		√		LATERALES ( DE CONTAR CON EL), ESTACA/AGUJEROS DE ESTACA, AMARRES			
CAJAS PARA GRAVA							
60		√		LATERALES, SOPORTE, CORROSION			
60		√		PISO			
60		√		PUERTAS DE TOLVA O DE VACIADO			
SUJECION DE CARGA 							
61		√		PUNTOS DE SUJECION, EQUIPO DE SUJECION			
61		√		CONDICIONDEL VEHICULO O DE LA CARGA			
OTRO TIPO DE CARROCERIA 							
60		√		PISO			
60		√		PUERTAS 			
60		√		LATERALES			
60		√		SUJETADORES, MANGUERAS			
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
